Area,Age,M/F,Cause of death or injury,Measure,"Value per 100,000",Lower bound,Upper bound
West Bengal,<5 years,Male,Neglected tropical diseases and malaria,Affected,122.4072217,21.21213625,327.3582562
Andhra Pradesh,<5 years,Male,Nutritional deficiencies,Affected rank,12,,
Andhra Pradesh,<5 years,Male,Nutritional deficiencies,Affected,49.10453115,30.12961171,77.559982
Arunachal Pradesh,<5 years,Male,Nutritional deficiencies,Affected rank,11,,
Arunachal Pradesh,<5 years,Male,Nutritional deficiencies,Affected,2.359085851,1.164877377,4.262644625
Assam,<5 years,Male,Nutritional deficiencies,Affected rank,8,,
Assam,<5 years,Male,Nutritional deficiencies,Affected,138.9282828,72.45226214,245.6613033
Bihar,<5 years,Male,Nutritional deficiencies,Affected rank,11,,
Bihar,<5 years,Male,Nutritional deficiencies,Affected,228.3596802,129.1028934,372.9947769
Chhattisgarh,<5 years,Male,Nutritional deficiencies,Affected rank,9,,
Chhattisgarh,<5 years,Male,Nutritional deficiencies,Affected,121.8138729,56.92561808,213.9163959
Delhi,<5 years,Male,Nutritional deficiencies,Affected rank,9,,
Delhi,<5 years,Male,Nutritional deficiencies,Affected,13.27413016,6.936387504,22.38151169
Goa,<5 years,Male,Nutritional deficiencies,Affected rank,14,,
Goa,<5 years,Male,Nutritional deficiencies,Affected,0.181474534,0.104367464,0.29479725
Gujarat,<5 years,Male,Nutritional deficiencies,Affected rank,9,,
Gujarat,<5 years,Male,Nutritional deficiencies,Affected,125.9382238,64.9729257,227.3768619
Haryana,<5 years,Male,Nutritional deficiencies,Affected rank,8,,
Haryana,<5 years,Male,Nutritional deficiencies,Affected,110.5233584,66.05761755,173.1925961
Himachal Pradesh,<5 years,Male,Nutritional deficiencies,Affected rank,13,,
Himachal Pradesh,<5 years,Male,Nutritional deficiencies,Affected,3.938569693,1.796605119,7.948339225
Jammu & Kashmir and Ladakh,<5 years,Male,Nutritional deficiencies,Affected rank,8,,
Jammu & Kashmir and Ladakh,<5 years,Male,Nutritional deficiencies,Affected,18.69027861,10.34599745,30.46223848
Jharkhand,<5 years,Male,Nutritional deficiencies,Affected rank,9,,
Jharkhand,<5 years,Male,Nutritional deficiencies,Affected,119.8359365,67.21508063,193.0793626
Karnataka,<5 years,Male,Nutritional deficiencies,Affected rank,9,,
Karnataka,<5 years,Male,Nutritional deficiencies,Affected,124.2591112,72.82613006,192.9871557
Kerala,<5 years,Male,Nutritional deficiencies,Affected rank,15,,
Kerala,<5 years,Male,Nutritional deficiencies,Affected,2.942672227,1.757566864,4.742046355
Madhya Pradesh,<5 years,Male,Nutritional deficiencies,Affected rank,7,,
Madhya Pradesh,<5 years,Male,Nutritional deficiencies,Affected,552.2362268,340.3450965,887.2490573
Maharashtra,<5 years,Male,Nutritional deficiencies,Affected rank,10,,
Maharashtra,<5 years,Male,Nutritional deficiencies,Affected,101.0788159,56.21602982,154.7357173
Manipur,<5 years,Male,Nutritional deficiencies,Affected rank,11,,
Manipur,<5 years,Male,Nutritional deficiencies,Affected,4.909422293,2.840207405,8.202632826
Meghalaya,<5 years,Male,Nutritional deficiencies,Affected rank,14,,
Meghalaya,<5 years,Male,Nutritional deficiencies,Affected,4.284207503,2.281516153,7.448492767
Mizoram,<5 years,Male,Nutritional deficiencies,Affected rank,17,,
Mizoram,<5 years,Male,Nutritional deficiencies,Affected,0.107788016,0.056693389,0.183095902
Nagaland,<5 years,Male,Nutritional deficiencies,Affected rank,13,,
Nagaland,<5 years,Male,Nutritional deficiencies,Affected,1.240440986,0.648718617,1.960492484
Odisha,<5 years,Male,Nutritional deficiencies,Affected rank,9,,
Odisha,<5 years,Male,Nutritional deficiencies,Affected,117.8076336,57.76570209,203.009197
Other Union Territories,<5 years,Male,Nutritional deficiencies,Affected rank,10,,
Other Union Territories,<5 years,Male,Nutritional deficiencies,Affected,3.094855473,1.649992062,5.479192611
Punjab,<5 years,Male,Nutritional deficiencies,Affected rank,10,,
Punjab,<5 years,Male,Nutritional deficiencies,Affected,29.52244305,17.37739297,45.99286948
Rajasthan,<5 years,Male,Nutritional deficiencies,Affected rank,9,,
Rajasthan,<5 years,Male,Nutritional deficiencies,Affected,180.5625834,99.22758201,322.4931012
Sikkim,<5 years,Male,Nutritional deficiencies,Affected rank,14,,
Sikkim,<5 years,Male,Nutritional deficiencies,Affected,0.461366746,0.233406978,0.834444093
Tamil Nadu,<5 years,Male,Nutritional deficiencies,Affected rank,10,,
Tamil Nadu,<5 years,Male,Nutritional deficiencies,Affected,50.22446507,26.11108625,82.34927759
Telangana,<5 years,Male,Nutritional deficiencies,Affected rank,12,,
Telangana,<5 years,Male,Nutritional deficiencies,Affected,35.61805755,19.2789397,60.14423986
Tripura,<5 years,Male,Nutritional deficiencies,Affected rank,10,,
Tripura,<5 years,Male,Nutritional deficiencies,Affected,4.163855094,2.088473534,7.201233896
Uttar Pradesh,<5 years,Male,Nutritional deficiencies,Affected rank,7,,
Uttar Pradesh,<5 years,Male,Nutritional deficiencies,Affected,1660.311984,926.0505817,2811.222699
Uttarakhand,<5 years,Male,Nutritional deficiencies,Affected rank,8,,
Uttarakhand,<5 years,Male,Nutritional deficiencies,Affected,13.65621336,7.694130823,21.91859274
West Bengal,<5 years,Male,Nutritional deficiencies,Affected rank,10,,
West Bengal,<5 years,Male,Nutritional deficiencies,Affected,95.13064394,55.08253773,144.4645069
Andhra Pradesh,<5 years,Male,Neoplasms,Affected rank,10,,
Andhra Pradesh,<5 years,Male,Neoplasms,Affected,56.34380563,37.30141955,81.87270136
Arunachal Pradesh,<5 years,Male,Neoplasms,Affected rank,8,,
Arunachal Pradesh,<5 years,Male,Neoplasms,Affected,6.489687572,3.595903624,10.68575634
Assam,<5 years,Male,Neoplasms,Affected rank,10,,
Assam,<5 years,Male,Neoplasms,Affected,81.30760444,41.9930638,141.9095949
Bihar,<5 years,Male,Neoplasms,Affected rank,9,,
Bihar,<5 years,Male,Neoplasms,Affected,281.340487,181.5936414,413.8687721
Chhattisgarh,<5 years,Male,Neoplasms,Affected rank,10,,
Chhattisgarh,<5 years,Male,Neoplasms,Affected,51.26785463,21.25856016,84.18070859
Delhi,<5 years,Male,Neoplasms,Affected rank,8,,
Delhi,<5 years,Male,Neoplasms,Affected,28.53013793,11.19256262,53.2684142
Goa,<5 years,Male,Neoplasms,Affected rank,9,,
Goa,<5 years,Male,Neoplasms,Affected,0.991740547,0.436013332,1.927215919
Gujarat,<5 years,Male,Neoplasms,Affected rank,11,,
Gujarat,<5 years,Male,Neoplasms,Affected,110.9745223,65.07739642,189.5033644
Haryana,<5 years,Male,Neoplasms,Affected rank,10,,
Haryana,<5 years,Male,Neoplasms,Affected,46.99268689,29.43141375,67.00255206
Himachal Pradesh,<5 years,Male,Neoplasms,Affected rank,8,,
Himachal Pradesh,<5 years,Male,Neoplasms,Affected,9.892847701,6.337883585,15.26281107
Jammu & Kashmir and Ladakh,<5 years,Male,Neoplasms,Affected rank,10,,
Jammu & Kashmir and Ladakh,<5 years,Male,Neoplasms,Affected,13.1762014,8.266377949,19.77878344
Jharkhand,<5 years,Male,Neoplasms,Affected rank,10,,
Jharkhand,<5 years,Male,Neoplasms,Affected,59.90337114,32.05297106,93.46768758
Karnataka,<5 years,Male,Neoplasms,Affected rank,8,,
Karnataka,<5 years,Male,Neoplasms,Affected,137.8252285,88.2589885,201.5310904
Kerala,<5 years,Male,Neoplasms,Affected rank,8,,
Kerala,<5 years,Male,Neoplasms,Affected,28.80493579,16.05583042,46.88690114
Madhya Pradesh,<5 years,Male,Neoplasms,Affected rank,12,,
Madhya Pradesh,<5 years,Male,Neoplasms,Affected,220.3071515,143.4461835,320.1511902
Maharashtra,<5 years,Male,Neoplasms,Affected rank,9,,
Maharashtra,<5 years,Male,Neoplasms,Affected,123.4074804,61.78463418,209.1087341
Manipur,<5 years,Male,Neoplasms,Affected rank,8,,
Manipur,<5 years,Male,Neoplasms,Affected,6.088274188,3.294796317,10.83229636
Meghalaya,<5 years,Male,Neoplasms,Affected rank,10,,
Meghalaya,<5 years,Male,Neoplasms,Affected,9.199322267,4.899303598,16.16461842
Mizoram,<5 years,Male,Neoplasms,Affected rank,9,,
Mizoram,<5 years,Male,Neoplasms,Affected,2.153901195,0.815201499,4.350343676
Nagaland,<5 years,Male,Neoplasms,Affected rank,8,,
Nagaland,<5 years,Male,Neoplasms,Affected,3.169596319,1.85531687,5.000926756
Odisha,<5 years,Male,Neoplasms,Affected rank,10,,
Odisha,<5 years,Male,Neoplasms,Affected,93.63319683,57.91479365,137.2097499
Other Union Territories,<5 years,Male,Neoplasms,Affected rank,8,,
Other Union Territories,<5 years,Male,Neoplasms,Affected,4.864506128,2.675894006,8.299410339
Punjab,<5 years,Male,Neoplasms,Affected rank,9,,
Punjab,<5 years,Male,Neoplasms,Affected,39.67634337,22.17852047,63.69835027
Rajasthan,<5 years,Male,Neoplasms,Affected rank,11,,
Rajasthan,<5 years,Male,Neoplasms,Affected,143.7313908,99.47521734,203.4962186
Sikkim,<5 years,Male,Neoplasms,Affected rank,7,,
Sikkim,<5 years,Male,Neoplasms,Affected,1.63456577,0.891852071,2.854936579
Tamil Nadu,<5 years,Male,Neoplasms,Affected rank,9,,
Tamil Nadu,<5 years,Male,Neoplasms,Affected,50.23740738,28.196567,89.05620843
Telangana,<5 years,Male,Neoplasms,Affected rank,10,,
Telangana,<5 years,Male,Neoplasms,Affected,43.55548342,28.24169814,68.90332408
Tripura,<5 years,Male,Neoplasms,Affected rank,12,,
