Area,Age,M/F,Cause of death or injury,Measure,"Value per 100,000",Lower bound,Upper bound
Sikkim,<5 years,Female,Neglected tropical diseases and malaria,Affected,0.140111402,0.053518287,0.318273093
Tamil Nadu,<5 years,Female,Neglected tropical diseases and malaria,Affected rank,14,,
Tamil Nadu,<5 years,Female,Neglected tropical diseases and malaria,Affected,14.61942269,7.930591369,26.24376135
Telangana,<5 years,Female,Neglected tropical diseases and malaria,Affected rank,8,,
Telangana,<5 years,Female,Neglected tropical diseases and malaria,Affected,63.25400355,12.45338042,197.482936
Tripura,<5 years,Female,Neglected tropical diseases and malaria,Affected rank,5,,
Tripura,<5 years,Female,Neglected tropical diseases and malaria,Affected,24.4207067,0.376148371,65.85317705
Uttar Pradesh,<5 years,Female,Neglected tropical diseases and malaria,Affected rank,13,,
Uttar Pradesh,<5 years,Female,Neglected tropical diseases and malaria,Affected,473.4526113,179.0947223,946.0429687
Uttarakhand,<5 years,Female,Neglected tropical diseases and malaria,Affected rank,16,,
Uttarakhand,<5 years,Female,Neglected tropical diseases and malaria,Affected,2.365495058,0.686416426,6.91534952
West Bengal,<5 years,Female,Neglected tropical diseases and malaria,Affected rank,9,,
West Bengal,<5 years,Female,Neglected tropical diseases and malaria,Affected,115.6499211,14.5558363,314.3764864
Andhra Pradesh,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Andhra Pradesh,<5 years,Female,Nutritional deficiencies,Affected,43.35784385,26.27571226,68.12086257
Arunachal Pradesh,<5 years,Female,Nutritional deficiencies,Affected rank,10,,
Arunachal Pradesh,<5 years,Female,Nutritional deficiencies,Affected,1.99910479,0.927108209,3.762739883
Assam,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Assam,<5 years,Female,Nutritional deficiencies,Affected,81.20067893,40.88951076,134.1105186
Bihar,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Bihar,<5 years,Female,Nutritional deficiencies,Affected,445.4895282,255.5315212,714.3269843
Chhattisgarh,<5 years,Female,Nutritional deficiencies,Affected rank,8,,
Chhattisgarh,<5 years,Female,Nutritional deficiencies,Affected,130.5444204,53.95383823,233.3406986
Delhi,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Delhi,<5 years,Female,Nutritional deficiencies,Affected,12.69256846,6.784249561,20.77679127
Goa,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Goa,<5 years,Female,Nutritional deficiencies,Affected,1.344291435,0.731257732,2.201669236
Gujarat,<5 years,Female,Nutritional deficiencies,Affected rank,10,,
Gujarat,<5 years,Female,Nutritional deficiencies,Affected,121.3666165,65.31465824,205.2980032
Haryana,<5 years,Female,Nutritional deficiencies,Affected rank,7,,
Haryana,<5 years,Female,Nutritional deficiencies,Affected,136.2970993,82.16527698,201.251534
Himachal Pradesh,<5 years,Female,Nutritional deficiencies,Affected rank,12,,
Himachal Pradesh,<5 years,Female,Nutritional deficiencies,Affected,3.865872461,2.097829199,6.432218935
Jammu & Kashmir and Ladakh,<5 years,Female,Nutritional deficiencies,Affected rank,11,,
Jammu & Kashmir and Ladakh,<5 years,Female,Nutritional deficiencies,Affected,8.285367789,4.707582499,13.71874913
Jharkhand,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Jharkhand,<5 years,Female,Nutritional deficiencies,Affected,92.13324839,52.65589118,150.8542853
Karnataka,<5 years,Female,Nutritional deficiencies,Affected rank,8,,
Karnataka,<5 years,Female,Nutritional deficiencies,Affected,122.4585614,65.883029,203.7153405
Kerala,<5 years,Female,Nutritional deficiencies,Affected rank,14,,
Kerala,<5 years,Female,Nutritional deficiencies,Affected,4.36982767,2.378873373,7.096167517
Madhya Pradesh,<5 years,Female,Nutritional deficiencies,Affected rank,7,,
Madhya Pradesh,<5 years,Female,Nutritional deficiencies,Affected,599.952383,352.133294,1020.023349
Maharashtra,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Maharashtra,<5 years,Female,Nutritional deficiencies,Affected,135.8105096,72.86181473,219.9069702
Manipur,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Manipur,<5 years,Female,Nutritional deficiencies,Affected,5.696557595,3.088668261,9.230714468
Meghalaya,<5 years,Female,Nutritional deficiencies,Affected rank,12,,
Meghalaya,<5 years,Female,Nutritional deficiencies,Affected,3.710765532,2.05522619,6.371800946
Mizoram,<5 years,Female,Nutritional deficiencies,Affected rank,17,,
Mizoram,<5 years,Female,Nutritional deficiencies,Affected,0.088174051,0.042108299,0.159493757
Nagaland,<5 years,Female,Nutritional deficiencies,Affected rank,10,,
Nagaland,<5 years,Female,Nutritional deficiencies,Affected,2.505903078,1.461420389,4.025612643
Odisha,<5 years,Female,Nutritional deficiencies,Affected rank,8,,
Odisha,<5 years,Female,Nutritional deficiencies,Affected,145.2052874,79.74827687,248.1794147
Other Union Territories,<5 years,Female,Nutritional deficiencies,Affected rank,8,,
Other Union Territories,<5 years,Female,Nutritional deficiencies,Affected,2.609633713,1.358373101,4.78168381
Punjab,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Punjab,<5 years,Female,Nutritional deficiencies,Affected,31.7887679,18.51408876,49.72152841
Rajasthan,<5 years,Female,Nutritional deficiencies,Affected rank,9,,
Rajasthan,<5 years,Female,Nutritional deficiencies,Affected,328.7195248,160.7060284,621.0506127
Sikkim,<5 years,Female,Nutritional deficiencies,Affected rank,13,,
Sikkim,<5 years,Female,Nutritional deficiencies,Affected,0.277947832,0.145362379,0.495157435
Tamil Nadu,<5 years,Female,Nutritional deficiencies,Affected rank,8,,
Tamil Nadu,<5 years,Female,Nutritional deficiencies,Affected,69.50846537,39.53823669,109.9655092
Telangana,<5 years,Female,Nutritional deficiencies,Affected rank,10,,
Telangana,<5 years,Female,Nutritional deficiencies,Affected,32.9939842,18.57684718,54.00884292
Tripura,<5 years,Female,Nutritional deficiencies,Affected rank,10,,
Tripura,<5 years,Female,Nutritional deficiencies,Affected,2.382652333,1.226070395,4.01768789
Uttar Pradesh,<5 years,Female,Nutritional deficiencies,Affected rank,7,,
Uttar Pradesh,<5 years,Female,Nutritional deficiencies,Affected,2404.472179,1454.392519,3907.308015
Uttarakhand,<5 years,Female,Nutritional deficiencies,Affected rank,8,,
Uttarakhand,<5 years,Female,Nutritional deficiencies,Affected,21.32760667,11.6878364,35.29559903
West Bengal,<5 years,Female,Nutritional deficiencies,Affected rank,8,,
West Bengal,<5 years,Female,Nutritional deficiencies,Affected,128.4394019,73.7050674,202.4520777
Andhra Pradesh,<5 years,Female,Neoplasms,Affected rank,11,,
Andhra Pradesh,<5 years,Female,Neoplasms,Affected,29.37977899,18.57954972,45.00199936
Arunachal Pradesh,<5 years,Female,Neoplasms,Affected rank,9,,
Arunachal Pradesh,<5 years,Female,Neoplasms,Affected,3.794275916,1.827521718,6.761210296
Assam,<5 years,Female,Neoplasms,Affected rank,11,,
Assam,<5 years,Female,Neoplasms,Affected,46.14584896,23.71932893,84.69326836
Bihar,<5 years,Female,Neoplasms,Affected rank,12,,
Bihar,<5 years,Female,Neoplasms,Affected,185.7441893,128.6372651,260.2925256
Chhattisgarh,<5 years,Female,Neoplasms,Affected rank,13,,
Chhattisgarh,<5 years,Female,Neoplasms,Affected,32.81766973,13.03118975,57.14762833
Delhi,<5 years,Female,Neoplasms,Affected rank,8,,
Delhi,<5 years,Female,Neoplasms,Affected,19.1098267,9.826517046,36.96702101
Goa,<5 years,Female,Neoplasms,Affected rank,10,,
Goa,<5 years,Female,Neoplasms,Affected,0.657615249,0.307351965,1.291452497
Gujarat,<5 years,Female,Neoplasms,Affected rank,13,,
Gujarat,<5 years,Female,Neoplasms,Affected,55.50813628,31.80545877,95.68593554
Haryana,<5 years,Female,Neoplasms,Affected rank,12,,
Haryana,<5 years,Female,Neoplasms,Affected,38.32684078,25.60959911,54.31431143
Himachal Pradesh,<5 years,Female,Neoplasms,Affected rank,8,,
Himachal Pradesh,<5 years,Female,Neoplasms,Affected,6.738597036,4.001716436,10.57888623
Jammu & Kashmir and Ladakh,<5 years,Female,Neoplasms,Affected rank,10,,
Jammu & Kashmir and Ladakh,<5 years,Female,Neoplasms,Affected,8.847165472,5.553354801,13.57916513
Jharkhand,<5 years,Female,Neoplasms,Affected rank,12,,
Jharkhand,<5 years,Female,Neoplasms,Affected,44.32672041,24.47013611,70.13560438
Karnataka,<5 years,Female,Neoplasms,Affected rank,11,,
Karnataka,<5 years,Female,Neoplasms,Affected,73.42208113,44.44796344,111.3995502
Kerala,<5 years,Female,Neoplasms,Affected rank,8,,
Kerala,<5 years,Female,Neoplasms,Affected,18.51746732,10.70450975,29.56571058
Madhya Pradesh,<5 years,Female,Neoplasms,Affected rank,12,,
Madhya Pradesh,<5 years,Female,Neoplasms,Affected,155.9885253,103.2513944,221.5145308
Maharashtra,<5 years,Female,Neoplasms,Affected rank,10,,
Maharashtra,<5 years,Female,Neoplasms,Affected,73.62269324,41.71837221,137.4138159
Manipur,<5 years,Female,Neoplasms,Affected rank,11,,
Manipur,<5 years,Female,Neoplasms,Affected,3.028032057,1.674649192,5.198235119
Meghalaya,<5 years,Female,Neoplasms,Affected rank,11,,
Meghalaya,<5 years,Female,Neoplasms,Affected,5.034155243,2.902546583,8.257605206
Mizoram,<5 years,Female,Neoplasms,Affected rank,10,,
Mizoram,<5 years,Female,Neoplasms,Affected,1.187724058,0.422298474,2.634738545
Nagaland,<5 years,Female,Neoplasms,Affected rank,9,,
Nagaland,<5 years,Female,Neoplasms,Affected,3.477800655,1.471225466,5.609452905
Odisha,<5 years,Female,Neoplasms,Affected rank,12,,
Odisha,<5 years,Female,Neoplasms,Affected,57.20748003,35.77517366,87.99942383
Other Union Territories,<5 years,Female,Neoplasms,Affected rank,9,,
Other Union Territories,<5 years,Female,Neoplasms,Affected,2.429300808,1.313441236,4.26797876
Punjab,<5 years,Female,Neoplasms,Affected rank,10,,
Punjab,<5 years,Female,Neoplasms,Affected,27.8055142,17.75826756,41.61355789
Rajasthan,<5 years,Female,Neoplasms,Affected rank,11,,
Rajasthan,<5 years,Female,Neoplasms,Affected,110.9884384,72.32433858,154.8043497
Sikkim,<5 years,Female,Neoplasms,Affected rank,8,,
Sikkim,<5 years,Female,Neoplasms,Affected,1.051947579,0.590971686,1.697195998
Tamil Nadu,<5 years,Female,Neoplasms,Affected rank,10,,
Tamil Nadu,<5 years,Female,Neoplasms,Affected,38.10861156,23.41881474,59.65514679
Telangana,<5 years,Female,Neoplasms,Affected rank,12,,
Telangana,<5 years,Female,Neoplasms,Affected,28.2727577,18.63137549,41.84827592
Tripura,<5 years,Female,Neoplasms,Affected rank,13,,
Tripura,<5 years,Female,Neoplasms,Affected,1.491847058,0.752681407,2.887954464
Uttar Pradesh,<5 years,Female,Neoplasms,Affected rank,11,,
Uttar Pradesh,<5 years,Female,Neoplasms,Affected,499.1195916,333.7060479,711.9445257
Uttarakhand,<5 years,Female,Neoplasms,Affected rank,10,,
Uttarakhand,<5 years,Female,Neoplasms,Affected,8.20786605,5.202963509,12.51418079
West Bengal,<5 years,Female,Neoplasms,Affected rank,10,,
West Bengal,<5 years,Female,Neoplasms,Affected,82.33455088,53.25071141,129.4674673
Andhra Pradesh,<5 years,Female,Cardiovascular diseases,Affected rank,10,,
Andhra Pradesh,<5 years,Female,Cardiovascular diseases,Affected,34.84637731,24.57678162,48.88525472
Arunachal Pradesh,<5 years,Female,Cardiovascular diseases,Affected rank,12,,
Arunachal Pradesh,<5 years,Female,Cardiovascular diseases,Affected,1.023591838,0.569925933,1.60161141
Assam,<5 years,Female,Cardiovascular diseases,Affected rank,12,,
Assam,<5 years,Female,Cardiovascular diseases,Affected,41.86848318,26.09218726,62.88632937
Bihar,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Bihar,<5 years,Female,Cardiovascular diseases,Affected,193.2576852,130.8520969,273.9713052
Chhattisgarh,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Chhattisgarh,<5 years,Female,Cardiovascular diseases,Affected,47.47098929,22.66019318,77.78976043
Delhi,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Delhi,<5 years,Female,Cardiovascular diseases,Affected,8.78286382,5.52277235,13.04966026
Goa,<5 years,Female,Cardiovascular diseases,Affected rank,12,,
Goa,<5 years,Female,Cardiovascular diseases,Affected,0.411337195,0.236030304,0.653984311
Gujarat,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Gujarat,<5 years,Female,Cardiovascular diseases,Affected,71.86183279,48.28565402,103.1633994
Haryana,<5 years,Female,Cardiovascular diseases,Affected rank,10,,
Haryana,<5 years,Female,Cardiovascular diseases,Affected,42.22240055,28.42593272,63.14973865
Himachal Pradesh,<5 years,Female,Cardiovascular diseases,Affected rank,10,,
Himachal Pradesh,<5 years,Female,Cardiovascular diseases,Affected,4.67814413,3.013434801,7.048963434
Jammu & Kashmir and Ladakh,<5 years,Female,Cardiovascular diseases,Affected rank,9,,
Jammu & Kashmir and Ladakh,<5 years,Female,Cardiovascular diseases,Affected,12.77238501,8.761611726,17.45758149
Jharkhand,<5 years,Female,Cardiovascular diseases,Affected rank,14,,
Jharkhand,<5 years,Female,Cardiovascular diseases,Affected,40.40423681,23.54725679,63.73427453
Karnataka,<5 years,Female,Cardiovascular diseases,Affected rank,10,,
Karnataka,<5 years,Female,Cardiovascular diseases,Affected,77.71628646,50.27918926,108.5544791
Kerala,<5 years,Female,Cardiovascular diseases,Affected rank,9,,
Kerala,<5 years,Female,Cardiovascular diseases,Affected,10.99356942,7.010548614,16.59445244
Madhya Pradesh,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Madhya Pradesh,<5 years,Female,Cardiovascular diseases,Affected,195.6305944,129.7599117,276.9544126
Maharashtra,<5 years,Female,Cardiovascular diseases,Affected rank,12,,
Maharashtra,<5 years,Female,Cardiovascular diseases,Affected,52.70017046,33.15436613,78.70940567
Manipur,<5 years,Female,Cardiovascular diseases,Affected rank,12,,
Manipur,<5 years,Female,Cardiovascular diseases,Affected,2.777447099,1.603955405,4.471485723
Meghalaya,<5 years,Female,Cardiovascular diseases,Affected rank,13,,
Meghalaya,<5 years,Female,Cardiovascular diseases,Affected,3.574337173,2.099300439,5.564620206
Mizoram,<5 years,Female,Cardiovascular diseases,Affected rank,15,,
Mizoram,<5 years,Female,Cardiovascular diseases,Affected,0.235913394,0.113042444,0.42394964
Nagaland,<5 years,Female,Cardiovascular diseases,Affected rank,13,,
Nagaland,<5 years,Female,Cardiovascular diseases,Affected,1.420651484,0.920630454,2.137875655
Odisha,<5 years,Female,Cardiovascular diseases,Affected rank,13,,
Odisha,<5 years,Female,Cardiovascular diseases,Affected,49.11600834,30.76967587,72.40638166
Other Union Territories,<5 years,Female,Cardiovascular diseases,Affected rank,12,,
Other Union Territories,<5 years,Female,Cardiovascular diseases,Affected,1.945066043,1.113992274,3.121539584
Punjab,<5 years,Female,Cardiovascular diseases,Affected rank,8,,
Punjab,<5 years,Female,Cardiovascular diseases,Affected,42.89667569,29.37472132,61.23698308
Rajasthan,<5 years,Female,Cardiovascular diseases,Affected rank,10,,
Rajasthan,<5 years,Female,Cardiovascular diseases,Affected,111.6502104,76.46048769,156.0669517
Sikkim,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Sikkim,<5 years,Female,Cardiovascular diseases,Affected,0.444289013,0.271333647,0.691436178
Tamil Nadu,<5 years,Female,Cardiovascular diseases,Affected rank,9,,
Tamil Nadu,<5 years,Female,Cardiovascular diseases,Affected,38.1110985,25.59047116,53.16000819
Telangana,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Telangana,<5 years,Female,Cardiovascular diseases,Affected,30.99144154,21.28331372,43.98454239
Tripura,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
Tripura,<5 years,Female,Cardiovascular diseases,Affected,1.942460068,1.084188693,3.057642624
Uttar Pradesh,<5 years,Female,Cardiovascular diseases,Affected rank,10,,
Uttar Pradesh,<5 years,Female,Cardiovascular diseases,Affected,523.4493137,360.473369,728.3940792
Uttarakhand,<5 years,Female,Cardiovascular diseases,Affected rank,12,,
Uttarakhand,<5 years,Female,Cardiovascular diseases,Affected,6.282356427,4.080723823,9.254736478
West Bengal,<5 years,Female,Cardiovascular diseases,Affected rank,11,,
West Bengal,<5 years,Female,Cardiovascular diseases,Affected,77.32860671,53.52394943,107.7854494
Andhra Pradesh,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Andhra Pradesh,<5 years,Female,Chronic respiratory diseases,Affected,5.158753047,2.30509173,14.2312778
Arunachal Pradesh,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Arunachal Pradesh,<5 years,Female,Chronic respiratory diseases,Affected,0.235732473,0.097563919,0.510507362
Assam,<5 years,Female,Chronic respiratory diseases,Affected rank,17,,
Assam,<5 years,Female,Chronic respiratory diseases,Affected,11.77686314,4.88913676,28.54312673
Bihar,<5 years,Female,Chronic respiratory diseases,Affected rank,16,,
Bihar,<5 years,Female,Chronic respiratory diseases,Affected,97.98205943,41.71048131,211.5477972
Chhattisgarh,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Chhattisgarh,<5 years,Female,Chronic respiratory diseases,Affected,8.123129743,2.694314167,22.4718458
Delhi,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Delhi,<5 years,Female,Chronic respiratory diseases,Affected,1.545937872,0.619897952,3.821305321
Goa,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Goa,<5 years,Female,Chronic respiratory diseases,Affected,0.039115658,0.016302352,0.094978443
Gujarat,<5 years,Female,Chronic respiratory diseases,Affected rank,17,,
Gujarat,<5 years,Female,Chronic respiratory diseases,Affected,16.31888024,7.141377764,39.59392694
Haryana,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Haryana,<5 years,Female,Chronic respiratory diseases,Affected,8.708656639,4.268982671,20.15173107
Himachal Pradesh,<5 years,Female,Chronic respiratory diseases,Affected rank,16,,
Himachal Pradesh,<5 years,Female,Chronic respiratory diseases,Affected,1.540172967,0.728562077,3.44284587
Jammu & Kashmir and Ladakh,<5 years,Female,Chronic respiratory diseases,Affected rank,15,,
Jammu & Kashmir and Ladakh,<5 years,Female,Chronic respiratory diseases,Affected,2.728374662,1.255719869,6.287267213
Jharkhand,<5 years,Female,Chronic respiratory diseases,Affected rank,16,,
Jharkhand,<5 years,Female,Chronic respiratory diseases,Affected,11.96885702,4.52625329,32.32977981
Karnataka,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Karnataka,<5 years,Female,Chronic respiratory diseases,Affected,14.57261043,7.045307738,35.1383401
Kerala,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Kerala,<5 years,Female,Chronic respiratory diseases,Affected,1.144840609,0.50250127,2.550257525
Madhya Pradesh,<5 years,Female,Chronic respiratory diseases,Affected rank,17,,
Madhya Pradesh,<5 years,Female,Chronic respiratory diseases,Affected,49.50558254,22.39433318,120.856549
Maharashtra,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Maharashtra,<5 years,Female,Chronic respiratory diseases,Affected,11.68128652,5.15937422,31.07821113
Manipur,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Manipur,<5 years,Female,Chronic respiratory diseases,Affected,0.479749635,0.233078812,0.964238758
Meghalaya,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Meghalaya,<5 years,Female,Chronic respiratory diseases,Affected,0.637422901,0.303082393,1.501489075
Mizoram,<5 years,Female,Chronic respiratory diseases,Affected rank,14,,
Mizoram,<5 years,Female,Chronic respiratory diseases,Affected,0.245415022,0.066369236,0.654580893
Nagaland,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Nagaland,<5 years,Female,Chronic respiratory diseases,Affected,0.153885438,0.076964722,0.32250504
Odisha,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Odisha,<5 years,Female,Chronic respiratory diseases,Affected,4.627683935,1.733961312,12.8536757
Other Union Territories,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Other Union Territories,<5 years,Female,Chronic respiratory diseases,Affected,0.216332089,0.097341206,0.488984416
Punjab,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Punjab,<5 years,Female,Chronic respiratory diseases,Affected,1.997863741,1.00807793,4.482527719
Rajasthan,<5 years,Female,Chronic respiratory diseases,Affected rank,15,,
Rajasthan,<5 years,Female,Chronic respiratory diseases,Affected,58.46899664,24.37756369,145.1535079
Sikkim,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Sikkim,<5 years,Female,Chronic respiratory diseases,Affected,0.09835996,0.04929806,0.191197151
Tamil Nadu,<5 years,Female,Chronic respiratory diseases,Affected rank,19,,
Tamil Nadu,<5 years,Female,Chronic respiratory diseases,Affected,3.938322343,1.782343382,9.623946881
Telangana,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Telangana,<5 years,Female,Chronic respiratory diseases,Affected,4.540721445,2.116348644,12.12566222
Tripura,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
Tripura,<5 years,Female,Chronic respiratory diseases,Affected,0.422170382,0.181251968,0.962998177
Uttar Pradesh,<5 years,Female,Chronic respiratory diseases,Affected rank,17,,
Uttar Pradesh,<5 years,Female,Chronic respiratory diseases,Affected,211.962469,99.82632727,507.4388276
Uttarakhand,<5 years,Female,Chronic respiratory diseases,Affected rank,15,,
Uttarakhand,<5 years,Female,Chronic respiratory diseases,Affected,2.433536885,1.107714158,5.849924492
West Bengal,<5 years,Female,Chronic respiratory diseases,Affected rank,18,,
West Bengal,<5 years,Female,Chronic respiratory diseases,Affected,15.21431028,7.06718964,38.47614793
Andhra Pradesh,<5 years,Female,Digestive diseases,Affected rank,15,,
Andhra Pradesh,<5 years,Female,Digestive diseases,Affected,15.1973188,7.376782597,26.24417324
Arunachal Pradesh,<5 years,Female,Digestive diseases,Affected rank,11,,
Arunachal Pradesh,<5 years,Female,Digestive diseases,Affected,1.83252111,0.827749448,3.736231916
Assam,<5 years,Female,Digestive diseases,Affected rank,10,,
Assam,<5 years,Female,Digestive diseases,Affected,58.93975434,27.53257935,116.2537026
Bihar,<5 years,Female,Digestive diseases,Affected rank,10,,
Bihar,<5 years,Female,Digestive diseases,Affected,243.1016617,126.7289944,447.6008331
Chhattisgarh,<5 years,Female,Digestive diseases,Affected rank,15,,
Chhattisgarh,<5 years,Female,Digestive diseases,Affected,24.50452303,9.541482489,57.72357811
Delhi,<5 years,Female,Digestive diseases,Affected rank,14,,
Delhi,<5 years,Female,Digestive diseases,Affected,4.514859455,2.006569105,9.109458229
Goa,<5 years,Female,Digestive diseases,Affected rank,15,,
Goa,<5 years,Female,Digestive diseases,Affected,0.212272181,0.077800531,0.447594533
Gujarat,<5 years,Female,Digestive diseases,Affected rank,15,,
Gujarat,<5 years,Female,Digestive diseases,Affected,28.0051048,13.93538576,53.23444867
Haryana,<5 years,Female,Digestive diseases,Affected rank,15,,
Haryana,<5 years,Female,Digestive diseases,Affected,18.93133971,11.10084447,31.1876666
Himachal Pradesh,<5 years,Female,Digestive diseases,Affected rank,13,,
Himachal Pradesh,<5 years,Female,Digestive diseases,Affected,3.023747381,1.573493972,5.42831787
Jammu & Kashmir and Ladakh,<5 years,Female,Digestive diseases,Affected rank,14,,
Jammu & Kashmir and Ladakh,<5 years,Female,Digestive diseases,Affected,4.281746214,2.242332076,7.798163921
Jharkhand,<5 years,Female,Digestive diseases,Affected rank,15,,
Jharkhand,<5 years,Female,Digestive diseases,Affected,34.64077664,16.47229206,70.9403558
Karnataka,<5 years,Female,Digestive diseases,Affected rank,15,,
Karnataka,<5 years,Female,Digestive diseases,Affected,24.54577561,11.92912245,46.37551964
Kerala,<5 years,Female,Digestive diseases,Affected rank,16,,
Kerala,<5 years,Female,Digestive diseases,Affected,3.569063105,1.624758966,6.648510944
Madhya Pradesh,<5 years,Female,Digestive diseases,Affected rank,15,,
Madhya Pradesh,<5 years,Female,Digestive diseases,Affected,104.0000903,52.38886344,201.1329945
Maharashtra,<5 years,Female,Digestive diseases,Affected rank,15,,
Maharashtra,<5 years,Female,Digestive diseases,Affected,28.37494171,13.1948568,51.59296759
Manipur,<5 years,Female,Digestive diseases,Affected rank,13,,
Manipur,<5 years,Female,Digestive diseases,Affected,2.012592463,1.092449325,3.45460548
Meghalaya,<5 years,Female,Digestive diseases,Affected rank,10,,
Meghalaya,<5 years,Female,Digestive diseases,Affected,5.863505511,3.041944798,10.83362766
Mizoram,<5 years,Female,Digestive diseases,Affected rank,11,,
Mizoram,<5 years,Female,Digestive diseases,Affected,0.814577438,0.257903131,1.774243356
Nagaland,<5 years,Female,Digestive diseases,Affected rank,14,,
Nagaland,<5 years,Female,Digestive diseases,Affected,1.304554871,0.684717992,2.241140666
Odisha,<5 years,Female,Digestive diseases,Affected rank,14,,
Odisha,<5 years,Female,Digestive diseases,Affected,43.96793263,20.88549061,91.31882459
Other Union Territories,<5 years,Female,Digestive diseases,Affected rank,15,,
Other Union Territories,<5 years,Female,Digestive diseases,Affected,0.984779418,0.489815059,1.826084172
Punjab,<5 years,Female,Digestive diseases,Affected rank,14,,
Punjab,<5 years,Female,Digestive diseases,Affected,7.531566933,4.210626093,12.55438599
Rajasthan,<5 years,Female,Digestive diseases,Affected rank,16,,
Rajasthan,<5 years,Female,Digestive diseases,Affected,53.21462931,25.93497223,113.9791435
Sikkim,<5 years,Female,Digestive diseases,Affected rank,10,,
Sikkim,<5 years,Female,Digestive diseases,Affected,0.658288544,0.321958712,1.176597141
Tamil Nadu,<5 years,Female,Digestive diseases,Affected rank,16,,
Tamil Nadu,<5 years,Female,Digestive diseases,Affected,12.49689768,7.324282326,21.28244412
Telangana,<5 years,Female,Digestive diseases,Affected rank,15,,
Telangana,<5 years,Female,Digestive diseases,Affected,13.43468541,7.131220764,24.48409652
Tripura,<5 years,Female,Digestive diseases,Affected rank,12,,
Tripura,<5 years,Female,Digestive diseases,Affected,1.675375835,0.633638598,3.703019881
Uttar Pradesh,<5 years,Female,Digestive diseases,Affected rank,16,,
Uttar Pradesh,<5 years,Female,Digestive diseases,Affected,409.4941751,217.6642568,755.2767263
Uttarakhand,<5 years,Female,Digestive diseases,Affected rank,14,,
Uttarakhand,<5 years,Female,Digestive diseases,Affected,4.059442869,2.278272391,7.076741275
West Bengal,<5 years,Female,Digestive diseases,Affected rank,13,,
West Bengal,<5 years,Female,Digestive diseases,Affected,42.34938355,20.34987851,74.93656813
Andhra Pradesh,<5 years,Female,Neurological disorders,Affected rank,12,,
Andhra Pradesh,<5 years,Female,Neurological disorders,Affected,27.48568618,7.295223405,56.45304253
Arunachal Pradesh,<5 years,Female,Neurological disorders,Affected rank,18,,
Arunachal Pradesh,<5 years,Female,Neurological disorders,Affected,0.240754471,0.064419631,0.764319418
Assam,<5 years,Female,Neurological disorders,Affected rank,14,,
Assam,<5 years,Female,Neurological disorders,Affected,21.78104822,10.45136236,41.20296725
Bihar,<5 years,Female,Neurological disorders,Affected rank,15,,
Bihar,<5 years,Female,Neurological disorders,Affected,105.3717984,52.84805315,190.4317209
Chhattisgarh,<5 years,Female,Neurological disorders,Affected rank,12,,
Chhattisgarh,<5 years,Female,Neurological disorders,Affected,37.85118258,4.313396357,95.59252222
Delhi,<5 years,Female,Neurological disorders,Affected rank,13,,
Delhi,<5 years,Female,Neurological disorders,Affected,4.934159165,2.582118697,8.445411292
Goa,<5 years,Female,Neurological disorders,Affected rank,14,,
Goa,<5 years,Female,Neurological disorders,Affected,0.216183752,0.088424826,0.407174324
Gujarat,<5 years,Female,Neurological disorders,Affected rank,12,,
Gujarat,<5 years,Female,Neurological disorders,Affected,60.82697124,20.46837093,116.9395808
Haryana,<5 years,Female,Neurological disorders,Affected rank,13,,
